"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"ٱؤْتُمِنَ"|"ا م ن"|"ٱؤْتُمِنَ"|"ا م ن"|"VIII"|"1"|"to be entrusted"|""|""|"NL"|"TR"
"ءَانَسَ"|"ا ن س"|"ءَانَسَ"|"ا ن س"|"IV"|"5"|"to perceive"|"waarnemen"|"algılamak"|"NL"|"TR"
"تَسْتَأْنِسُ"|"ا ن س"|"تَسْتَأْنِسُ"|"ا ن س"|"X"|"1"|"to ask permission"|"toestemming vragen"|"izin istemek"|"NL"|"TR"
"يَأْنِ"|"ا ن ي"|"يَأْنِ"|"ا ن ي"|"I"|"1"|"to come (time)"|"komen (tijd)"|"gelmek (zaman)"|"NL"|"TR"
"أَوِّبِ"|"ا و ب"|"أَوِّبِ"|"ا و ب"|"II"|"1"|"to repeat"|"herhalen"|"tekrarlamak"|"NL"|"TR"
"يَـُٔودُ"|"ا و د"|"يَـُٔودُ"|"ا و د"|"I"|"1"|"to tire"|"moe worden"|"yorulmak"|"NL"|"TR"
"أَوَى"|"ا و ي"|"أَوَى"|"ا و ي"|"I"|"5"|"to seek shelter"|"onderdak zoeken"|"barınak aramayak"|"NL"|"TR"
"ءَاوَىٰٓ"|"ا و ي"|"ءَاوَىٰٓ"|"ا و ي"|"IV"|"9"|"to give shelter"|"onderdak geven"|"barınak vermek"|"NL"|"TR"
"أَيَّدَ"|"ا ي د"|"أَيَّدَ"|"ا ي د"|"II"|"9"|"to support, to strengthen"|"ondersteunen, versterken"|"desteklemek, güçlendirmek"|"NL"|"TR"
"بِئْسَ"|"ب ا س"|"بِئْسَ"|"ب ا س"|"I"|"40"|"to be wretched, to be evil"|"ellendig zijn, het kwaad zijn"|"kötü olması, kötü olmak"|"NL"|"TR"
"تَبْتَئِسْ"|"ب ا س"|"تَبْتَئِسْ"|"ب ا س"|"VIII"|"2"|"to grieve"|"rouwen"|"üzülmek"|"NL"|"TR"
"يُبَتِّكُ"|"ب ت ك"|"يُبَتِّكُ"|"ب ت ك"|"II"|"1"|"to cut off"|"afsnijden"|"kesmek"|"NL"|"TR"
"تَبَتَّلْ"|"ب ت ل"|"تَبَتَّلْ"|"ب ت ل"|"V"|"1"|"to devote"|"besteden"|"adamak"|"NL"|"TR"
"بَثَّ"|"ب ث ث"|"بَثَّ"|"ب ث ث"|"I"|"5"|"to disperse"|"dispergeren"|"dağıtmak"|"NL"|"TR"
"ٱنۢبَجَسَتْ"|"ب ج س"|"ٱنۢبَجَسَتْ"|"ب ج س"|"VII"|"1"|"to gush, to flow"|"ontspringen, stromen"|"coşmak, akmak"|"NL"|"TR"
"يَبْحَثُ"|"ب ح ث"|"يَبْحَثُ"|"ب ح ث"|"I"|"1"|"to search, to scratch"|"zoeken, krabben"|"aramak, kaşımak"|"NL"|"TR"
"يَبْخَسْ"|"ب خ س"|"يَبْخَسْ"|"ب خ س"|"I"|"5"|"to diminish, to deprive"|"afnemen, ontnemen"|"azaltmak, mahrum etmek"|"NL"|"TR"
"بَخِلَ"|"ب خ ل"|"بَخِلَ"|"ب خ ل"|"I"|"10"|"to be stingy, to withhold"|"gierig zijn, achterhouden"|"cimri olmak, vermemek"|"NL"|"TR"
"بَدَأَ"|"ب د ا"|"بَدَأَ"|"ب د ا"|"I"|"12"|"to begin, to originate"|"beginnen, voortkomen"|"başlamak, kaynaklanmak"|"NL"|"TR"
"يُبْدِئُ"|"ب د ا"|"يُبْدِئُ"|"ب د ا"|"IV"|"3"|"to originate"|"voortkomen"|"kaynaklanmak"|"NL"|"TR"
"ٱبْتَدَعُ"|"ب د ع"|"ٱبْتَدَعُ"|"ب د ع"|"VIII"|"1"|"to innovate"|"innoveren"|"yenilemek"|"NL"|"TR"
"بَدَّلَ"|"ب د ل"|"بَدَّلَ"|"ب د ل"|"II"|"23"|"to change"|"veranderen"|"değiştirmek"|"NL"|"TR"
"يُبْدِلَ"|"ب د ل"|"يُبْدِلَ"|"ب د ل"|"IV"|"3"|"to substitute"|"vervangen"|"yerine koymak"|"NL"|"TR"
"يَتَبَدَّلِ"|"ب د ل"|"يَتَبَدَّلِ"|"ب د ل"|"V"|"3"|"to exchange"|"uitwisselen"|"değiş tokuş yapmak"|"NL"|"TR"
"يَسْتَبْدِلْ"|"ب د ل"|"يَسْتَبْدِلْ"|"ب د ل"|"X"|"3"|"to replace"|"vervangen"|"yerine koymak/değiştirmek"|"NL"|"TR"
"بَدَا"|"ب د و"|"بَدَا"|"ب د و"|"I"|"11"|"to become apparent"|"zichtbaar worden"|"belirgin hale gelmek"|"NL"|"TR"
"يُبْدِىَ"|"ب د و"|"يُبْدِىَ"|"ب د و"|"IV"|"15"|"to reveal, to disclose"|"onthullen, openbaar maken"|"ortaya çıkarmak, ifşa etmek"|"NL"|"TR"
"تُبَذِّرْ"|"ب ذ ر"|"تُبَذِّرْ"|"ب ذ ر"|"II"|"1"|"to squander, to waste"|"verkwisten, verspillen"|"heba etmek, boşa harcamak"|"NL"|"TR"
"نَّبْرَأَ"|"ب ر ا"|"نَّبْرَأَ"|"ب ر ا"|"I"|"1"|"to bring into existence"|"tot stand te brengen"|"varlığı haline getirmek"|"NL"|"TR"
"بَرَّأَ"|"ب ر ا"|"بَرَّأَ"|"ب ر ا"|"II"|"2"|"to absolve, to clear"|"ontslaan/vrijspreken, ontruimen"|"affetmek, temizlemek"|"NL"|"TR"
"تُبْرِئُ"|"ب ر ا"|"تُبْرِئُ"|"ب ر ا"|"IV"|"2"|"to heal, to cure"|"genezen, genezen"|"iyileşmek, tedavi etmek"|"NL"|"TR"
"تَبَرَّأَ"|"ب ر ا"|"تَبَرَّأَ"|"ب ر ا"|"V"|"5"|"to disown"|"verloochenen"|"tanımamak"|"NL"|"TR"
"تَبَرَّجْ"|"ب ر ج"|"تَبَرَّجْ"|"ب ر ج"|"V"|"1"|"to display"|"weergeven"|"görüntülemek"|"NL"|"TR"
"أَبْرَحَ"|"ب ر ح"|"أَبْرَحَ"|"ب ر ح"|"I"|"3"|"to leave, to cease"|"vertrekken, staken"|"ayrılmak, durdurmak"|"NL"|"TR"
"تَبَرُّ"|"ب ر ر"|"تَبَرُّ"|"ب ر ر"|"I"|"2"|"to be good, to be kind"|"goed zijn, vriendelijk zijn"|"iyi olmak, nazik olmak"|"NL"|"TR"
"بَرَزَ"|"ب ر ز"|"بَرَزَ"|"ب ر ز"|"I"|"5"|"to come forth, to go out"|"naar voren te komen, uitgaan"|"ileri gelmek, dışarı çıkmak"|"NL"|"TR"
"بُرِّزَتِ"|"ب ر ز"|"بُرِّزَتِ"|"ب ر ز"|"II"|"2"|"to make manifest"|"manifest maken"|"tezahür yapmak"|"NL"|"TR"
"بَرِقَ"|"ب ر ق"|"بَرِقَ"|"ب ر ق"|"I"|"1"|"to be dazzled, to be frightened"|"verblind zijn, bang zijn"|"göz kamaştırmış olmak, Korkmak"|"NL"|"TR"
"بَٰرَكَ"|"ب ر ك"|"بَٰرَكَ"|"ب ر ك"|"III"|"8"|"to bless"|"zegenen"|"kutsamak"|"NL"|"TR"
"تَبَارَكَ"|"ب ر ك"|"تَبَارَكَ"|"ب ر ك"|"VI"|"9"|"to be blessed"|"gezegend zijn"|"mübarek olmak"|"NL"|"TR"
"أَبْرَمُ"|"ب ر م"|"أَبْرَمُ"|"ب ر م"|"IV"|"1"|"to determine, to conclude"|"bepalen, concluderen"|"belirlemek, sonuçlandırmak"|"NL"|"TR"
"بَسَرَ"|"ب س ر"|"بَسَرَ"|"ب س ر"|"I"|"1"|"to scowl, to frown"|"het voorhoofd fronsen, fronsen"|"kaş çatmak, kaşlarını çatmak"|"NL"|"TR"
"بُسَّتِ"|"ب س س"|"بُسَّتِ"|"ب س س"|"I"|"1"|"to crumble, to crush"|"afbrokkelen, verpletteren"|"çökmek, ezmek"|"NL"|"TR"
"بَسَطَ"|"ب س ط"|"بَسَطَ"|"ب س ط"|"I"|"16"|"to extend, to stretch"|"breiden, rekken"|"uzatmak, germek"|"NL"|"TR"
"أُبْسِلُ"|"ب س ل"|"أُبْسِلُ"|"ب س ل"|"IV"|"2"|"to give up to destruction"|""|""|"NL"|"TR"
"تَبَسَّمَ"|"ب س م"|"تَبَسَّمَ"|"ب س م"|"V"|"1"|"to smile"|"lachen"|"gülümsemek"|"NL"|"TR"
"بُشِّرَ"|"ب ش ر"|"بُشِّرَ"|"ب ش ر"|"II"|"38"|"to give glad tidings"|"blijde boodschap te geven"|"müjdelemek"|"NL"|"TR"
"بَٰشِرُ"|"ب ش ر"|"بَٰشِرُ"|"ب ش ر"|"III"|"2"|"to have relations"|"relaties hebben"|"ilişkilere sahip olmak"|"NL"|"TR"
"أَبْشِرُ"|"ب ش ر"|"أَبْشِرُ"|"ب ش ر"|"IV"|"1"|"to receive glad tidings"|"blijde boodschap te ontvangen"|"müjdesini almak"|"NL"|"TR"
"يَسْتَبْشِرُ"|"ب ش ر"|"يَسْتَبْشِرُ"|"ب ش ر"|"X"|"7"|"to rejoice"|"verheugen"|"sevinmek"|"NL"|"TR"
"بَصُرَتْ"|"ب ص ر"|"بَصُرَتْ"|"ب ص ر"|"I"|"3"|"to perceive, to watch"|"waarnemen, kijken"|"algılamak, izlemek"|"NL"|"TR"
"يُبَصَّرُ"|"ب ص ر"|"يُبَصَّرُ"|"ب ص ر"|"II"|"1"|"to be made to see"|"gemaakt om te zien"|"görmek için yapılmış"|"NL"|"TR"
"أَبْصَرَ"|"ب ص ر"|"أَبْصَرَ"|"ب ص ر"|"IV"|"29"|"to see"|"zien"|"görmek"|"NL"|"TR"
"يُبَطِّئَ"|"ب ط ا"|"يُبَطِّئَ"|"ب ط ا"|"II"|"1"|"to lag behind"|"achterblijven"|"gerisinde kalmak"|"NL"|"TR"
"بَطِرَتْ"|"ب ط ر"|"بَطِرَتْ"|"ب ط ر"|"I"|"1"|"to take lightly"|"licht te nemen"|"hafifçe almak"|"NL"|"TR"
"بَطَشْ"|"ب ط ش"|"بَطَشْ"|"ب ط ش"|"I"|"5"|"to seize"|"grijpen"|"ele geçirmek"|"NL"|"TR"
"بَطَلَ"|"ب ط ل"|"بَطَلَ"|"ب ط ل"|"I"|"1"|"to become futile"|"zinloos geworden"|"beyhude olmak"|"NL"|"TR"
"يُبْطِلَ"|"ب ط ل"|"يُبْطِلَ"|"ب ط ل"|"IV"|"4"|"to make vain, to nullify"|"te vergeefs maken, teniet doen"|"boşuna yapmak, geçersiz kılmak"|"NL"|"TR"
"بَطَنَ"|"ب ط ن"|"بَطَنَ"|"ب ط ن"|"I"|"2"|"to be concealed"|"te verbergen"|"gizlenecek"|"NL"|"TR"
"بَعَثَ"|"ب ع ث"|"بَعَثَ"|"ب ع ث"|"I"|"52"|"to raise, to resurrect, to send"|"verhogen, doen herleven, sturen"|"yükseltmek, diriltmek, göndermek"|"NL"|"TR"
"ٱنۢبَعَثَ"|"ب ع ث"|"ٱنۢبَعَثَ"|"ب ع ث"|"VII"|"1"|"to send forth"|"uitzenden"|"ileri göndermek"|"NL"|"TR"
"بُعْثِرَ"|"ب ع ث ر"|"بُعْثِرَ"|"ب ع ث ر"|"I"|"2"|"to overturn, to scatter"|"omver werpen, verstrooien"|"devirmek, dağıtmak"|"NL"|"TR"
"بَعُدَتْ"|"ب ع د"|"بَعُدَتْ"|"ب ع د"|"I"|"2"|"to become distant, to take away"|""|""|"NL"|"TR"
"بَٰعِدْ"|"ب ع د"|"بَٰعِدْ"|"ب ع د"|"III"|"1"|"to lengthen"|"verlengen"|"uzatmak"|"NL"|"TR"
"بَغَىٰ"|"ب غ ي"|"بَغَىٰ"|"ب غ ي"|"I"|"25"|"to seek, to oppress"|"zoeken, onderdrukken"|"aramak, ezmek"|"NL"|"TR"
"يَنۢبَغِى"|"ب غ ي"|"يَنۢبَغِى"|"ب غ ي"|"VII"|"6"|"to be appropiate"|"bestemde worden"|"uygun olanı olmak"|"NL"|"TR"
"ٱبْتَغَىٰ"|"ب غ ي"|"ٱبْتَغَىٰ"|"ب غ ي"|"VIII"|"34"|"to seek"|"zoeken"|"aramak"|"NL"|"TR"
"بَقِىَ"|"ب ق ي"|"بَقِىَ"|"ب ق ي"|"I"|"3"|"to remain"|"blijven"|"kalmak"|"NL"|"TR"
"تُبْقِى"|"ب ق ي"|"تُبْقِى"|"ب ق ي"|"IV"|"1"|"to spare, to remain"|""|""|"NL"|"TR"
"بَكَتْ"|"ب ك ي"|"بَكَتْ"|"ب ك ي"|"I"|"5"|"to weep"|"huilen"|"ağlamak"|"NL"|"TR"
"أَبْكَىٰ"|"ب ك ي"|"أَبْكَىٰ"|"ب ك ي"|"IV"|"1"|"to make weep"|"huilen maken"|"ağlatmak"|"NL"|"TR"
"يُبْلِسُ"|"ب ل س"|"يُبْلِسُ"|"ب ل س"|"IV"|"1"|"to despair"|"wanhopen"|"umutsuzluğa düşmek"|"NL"|"TR"
"ٱبْلَعِ"|"ب ل ع"|"ٱبْلَعِ"|"ب ل ع"|"I"|"1"|"to swallow"|"slikken"|"yutmak"|"NL"|"TR"
"بَلَغَ"|"ب ل غ"|"بَلَغَ"|"ب ل غ"|"I"|"40"|"to reach"|"bereiken"|"ulaşmak"|"NL"|"TR"
"بَلَّغْ"|"ب ل غ"|"بَلَّغْ"|"ب ل غ"|"II"|"6"|"to convey"|"overbrengen"|"iletmek"|"NL"|"TR"
"أَبْلَغُ"|"ب ل غ"|"أَبْلَغُ"|"ب ل غ"|"IV"|"5"|"to convey"|"overbrengen"|"iletmek"|"NL"|"TR"
"بَلَوْ"|"ب ل و"|"بَلَوْ"|"ب ل و"|"I"|"20"|"to test"|"testen"|"test etmek"|"NL"|"TR"
"يُبْلِىَ"|"ب ل و"|"يُبْلِىَ"|"ب ل و"|"IV"|"2"|"to test"|"testen"|"test etmek"|"NL"|"TR"
"ٱبْتَلَىٰٓ"|"ب ل و"|"ٱبْتَلَىٰٓ"|"ب ل و"|"VIII"|"8"|"to test, to try"|"testen, proberen"|"test etmek, denemek"|"NL"|"TR"
"بَنَىٰ"|"ب ن ي"|"بَنَىٰ"|"ب ن ي"|"I"|"11"|"to construct, to build"|"bouwen, bouwen"|"oluşturmak, inşa etmek"|"NL"|"TR"
"بُهِتَ"|"ب ه ت"|"بُهِتَ"|"ب ه ت"|"I"|"2"|"to be bewildered, to be dumbfounded"|"worden verbijsterd, stomverbaasd zijn"|"şaşkın edilmek, şaşkın olmak"|"NL"|"TR"
"نَبْتَهِلْ"|"ب ه ل"|"نَبْتَهِلْ"|"ب ه ل"|"VIII"|"1"|"to pray humbly"|"ootmoedig bidden"|"alçakgönüllülükle dua etmek"|"NL"|"TR"
"بَآءَ"|"ب و ا"|"بَآءَ"|"ب و ا"|"I"|"6"|"to incur, to turn back"|"oplopen, terugkeren"|"uğramak, geri çevirmek"|"NL"|"TR"
"بَوَّأَ"|"ب و ا"|"بَوَّأَ"|"ب و ا"|"II"|"6"|"to settle"|"zich vestigen"|"yerleşmek"|"NL"|"TR"
"يَتَبَوَّأُ"|"ب و ا"|"يَتَبَوَّأُ"|"ب و ا"|"V"|"4"|"to settle"|"zich vestigen"|"yerleşmek"|"NL"|"TR"
"يَبُورُ"|"ب و ر"|"يَبُورُ"|"ب و ر"|"I"|"2"|"to perish"|"vergaan"|"yok olmak"|"NL"|"TR"
"يَبِيتُ"|"ب ي ت"|"يَبِيتُ"|"ب ي ت"|"I"|"1"|"to spend the night"|"de nacht doorbrengen"|"gece geçirmek"|"NL"|"TR"
"بَيَّتَ"|"ب ي ت"|"بَيَّتَ"|"ب ي ت"|"II"|"4"|"to plan by night"|"plannen in de nacht"|"gece planlamak"|"NL"|"TR"
"تَبِيدَ"|"ب ي د"|"تَبِيدَ"|"ب ي د"|"I"|"1"|"to be perished"|"worden omgekomen"|"ölmüş olmak"|"NL"|"TR"
"ٱبْيَضَّتْ"|"ب ي ض"|"ٱبْيَضَّتْ"|"ب ي ض"|"IX"|"3"|"to become white"|"wit worden"|"beyaz olmak"|"NL"|"TR"
"بَايَعْ"|"ب ي ع"|"بَايَعْ"|"ب ي ع"|"III"|"6"|"to pledge allegiance"|"trouw zweren"|"sadakat yemini etmek"|"NL"|"TR"
"تَبَايَعْ"|"ب ي ع"|"تَبَايَعْ"|"ب ي ع"|"VI"|"1"|"to make commercial transaction"|"een commerciële transactie maken"|"Ticari işlem yapmak"|"NL"|"TR"
"بَيَّنُ"|"ب ي ن"|"بَيَّنُ"|"ب ي ن"|"II"|"35"|"to make clear"|"duidelijk maken"|"açıklığa kavuşturmak"|"NL"|"TR"
"يُبِينُ"|"ب ي ن"|"يُبِينُ"|"ب ي ن"|"IV"|"1"|"to explain"|"uitleggen"|"açıklamak"|"NL"|"TR"
"تَبَيَّنَ"|"ب ي ن"|"تَبَيَّنَ"|"ب ي ن"|"V"|"18"|"to become clear"|"duidelijk worden"|"açık olmak"|"NL"|"TR"
"تَسْتَبِينَ"|"ب ي ن"|"تَسْتَبِينَ"|"ب ي ن"|"X"|"1"|"to make clear"|"duidelijk maken"|"açıklığa kavuşturmak"|"NL"|"TR"
"تَبَّ"|"ت ب ب"|"تَبَّ"|"ت ب ب"|"I"|"2"|"to perish"|"vergaan"|"yok olmak"|"NL"|"TR"
"تَبَّرْ"|"ت ب ر"|"تَبَّرْ"|"ت ب ر"|"II"|"2"|"to destroy"|"vernietigen"|"yıkmak"|"NL"|"TR"
"تَبِعَ"|"ت ب ع"|"تَبِعَ"|"ت ب ع"|"I"|"9"|"to follow"|"volgen"|"izlemek"|"NL"|"TR"
"أَتْبَعَ"|"ت ب ع"|"أَتْبَعَ"|"ت ب ع"|"IV"|"15"|"to follow"|"volgen"|"izlemek"|"NL"|"TR"
"ٱتَّبَعَ"|"ت ب ع"|"ٱتَّبَعَ"|"ت ب ع"|"VIII"|"136"|"to follow"|"volgen"|"izlemek"|"NL"|"TR"
"أُتْرِفُ"|"ت ر ف"|"أُتْرِفُ"|"ت ر ف"|"IV"|"3"|"to give luxury"|"tot luxe geven"|"lüks vermek"|"NL"|"TR"
"تَرَكَ"|"ت ر ك"|"تَرَكَ"|"ت ر ك"|"I"|"40"|"to leave"|"verlaten"|"terk etmek"|"NL"|"TR"
"أَتْقَنَ"|"ت ق ن"|"أَتْقَنَ"|"ت ق ن"|"IV"|"1"|"to perfect"|"perfectioneren"|"mükemmeleştirmek"|"NL"|"TR"
"تَلَّ"|"ت ل ل"|"تَلَّ"|"ت ل ل"|"I"|"1"|"to put down"|"neer zetten"|"bastırmak"|"NL"|"TR"
"تَلَىٰ"|"ت ل و"|"تَلَىٰ"|"ت ل و"|"I"|"61"|"to recite"|"reciteren"|"ezberden okumak"|"NL"|"TR"
"تَمَّ"|"ت م م"|"تَمَّ"|"ت م م"|"I"|"4"|"to be fulfilled, to be completed"|"moet worden voldaan, worden voltooid"|"Yerine getirilmesi gereken, tamamlanması gereken"|"NL"|"TR"
"أَتَمَّ"|"ت م م"|"أَتَمَّ"|"ت م م"|"IV"|"16"|"to fulfill, to complete, to perfect"|"vervullen, aanvullen, perfectioneren"|"yerine getirmek, Tamamlamak, mükemmeleştirmek"|"NL"|"TR"
"تَابَ"|"ت و ب"|"تَابَ"|"ت و ب"|"I"|"63"|"to repent, to turn"|"zich bekeren, om te zetten"|"tövbe etmek, çevirmek"|"NL"|"TR"
"يَتِيهُ"|"ت ي ه"|"يَتِيهُ"|"ت ي ه"|"I"|"1"|"to wander"|"dwalen"|"dolaşmak"|"NL"|"TR"
"ٱثْبُتُ"|"ث ب ت"|"ٱثْبُتُ"|"ث ب ت"|"I"|"1"|"to be firm"|"stevig te zijn"|"sağlam olmak"|"NL"|"TR"
"ثَبَّتْ"|"ث ب ت"|"ثَبَّتْ"|"ث ب ت"|"II"|"10"|"to make firm"|"om stevig te maken"|"sağlamlaştırmak"|"NL"|"TR"
"يُثْبِتُ"|"ث ب ت"|"يُثْبِتُ"|"ث ب ت"|"IV"|"2"|"to restrain, to confirm"|"beperken, bevestigen"|"dizginlemek, onaylamak"|"NL"|"TR"
"ثَبَّطَ"|"ث ب ط"|"ثَبَّطَ"|"ث ب ط"|"II"|"1"|"to make lag behind"|""|""|"NL"|"TR"
